hash,count
2850,1
132886382,1
3411,1
121627903,1
334274949,1
-599142463,1
231174963,1
3999352,1
-1034957353,1
122205568,1
76777314,1
3703196,1
-61529944,1
-1660692994,1
103468380,1
109133,1
498107353,1
-1384192369,1
-1431998591,1
-1341195771,1
118250,1
96116911,1
-284886551,1
109535,1
2711,1
127074932,1
-1856375309,1
1836390219,1
100369,1
118863428,1
-1401022288,1
-1136904037,1
107030585,1
-1305130308,1
121616798,1
1790330344,1
211731957,1
125185385,1
-1441051400,1
-1304160045,1
83576791,1
987862913,1
4134156,1
4390164,1
-358458630,1
319065794,1
120934,1
119420105,1
-90431129,1
81988,1
1627646040,1
3682340,1
4066374,1
3963334,1
133172887,1
126256948,1
559849320,1
387711090,1
-374091287,1
82190,1
145346029,1
-1920267145,1
140375545,1
-1893893537,1
-1763855077,1
346785910,1
124871440,1
1499681782,1
269990204,1
-1754310173,1
123567,1
-1307142815,1
2519,1
468733204,1
65,1
1057542690,1
322679093,1
-1216042860,1
223984296,1
4277898,1
-746616452,1
-1051433822,1
2140737463,1
4277997,1
-137063384,1
334137749,1
3846660,1
119959390,1
3646637,1
4005808,1
-207721370,1
4299479,1
3635495,1
139294171,1
231171928,1
140771219,1
-101357721,1
-1879911750,1
120334087,1
3643400,1
-320614688,1
-314685749,1
-336065238,1
4041785,1
-677842457,1
4077845,1
-691476249,1
-320394815,1
131818649,1
81076759,1
1657447395,1
144975899,1
2096032239,1
3653155,1
-1520150233,1
135922626,1
113719,1
119082779,1
-1153068477,1
-580370422,1
130971533,1
-51049220,1
223511686,1
-698670376,1
1979853231,1
-1354398766,1
4114418,1
3851101,1
109212,1
-933835377,1
104508274,1
3990538,1
125743,1
-1766454967,1
-2042457797,1
-862718441,1
141462370,1
91097,1
98022159,1
59995563,1
144986591,1
-24915277,1
-251297877,1
119958949,1
3596276,1
-1572860352,1
-1744711727,1
106458640,1
140530370,1
86623537,1
329128635,1
3851300,1
-234400061,1
834445429,1
-1705727405,1
285787238,1
329735338,1
145235618,1
343926097,1
-71834446,1
2109247962,1
140227793,1
81855,1
120210461,1
122798588,1
141455936,1
1527622055,1
1607084648,1
119287048,1
2662,1
128816,1
140667420,1
120434795,1
74457,1
122717408,1
-179764122,1
