hash,count
1553,2
1554,0
1555,1
1556,0
1557,1
1558,0
1559,1
1560,2
1561,0
1562,4
1563,0
1564,2
1565,0
1566,1
1567,0
1568,0
1569,0
1570,1
1571,2
1572,0
1573,1
1574,2
1575,1
1576,0
1577,2
1578,0
1579,1
1580,1
1581,1
1582,3
1583,1
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,1
1591,0
1592,1
1593,2
1594,1
1595,2
1596,0
1597,1
1598,0
1599,0
1600,1
1601,0
1602,1
1603,1
1604,2
1605,0
1606,1
1607,0
1608,1
1609,1
1610,1
1611,0
1612,0
1613,1
1614,0
1615,1
1616,1
1617,0
1618,0
1619,0
1620,1
1621,1
1622,1
1623,0
1624,2
1625,1
1626,1
1627,0
1628,1
1629,0
1630,1
1631,3
1632,1
1633,0
1634,1
1635,1
1636,2
1637,0
1638,0
1639,1
1640,0
1641,2
1642,0
1643,2
1644,0
1645,0
1646,2
1647,1
1648,3
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,2
1657,1
1658,0
1659,1
1660,2
1661,0
1662,0
1663,1
1664,0
1665,0
1666,1
1667,0
1668,2
1669,0
1670,1
1671,1
1672,1
1673,0
1674,0
1675,0
1676,0
1677,0
1678,1
1679,0
1680,1
1681,1
1682,1
1683,2
1684,1
1685,0
1686,1
1687,0
1688,0
1689,2
1690,1
1691,1
1692,1
1693,1
1694,1
1695,0
1696,2
1697,0
1698,0
1699,3
1700,1
1701,1
1702,0
1703,0
1704,0
1705,1
1706,1
1707,0
1708,0
1709,2
1710,0
1711,0
1712,1
1713,0
1714,0
1715,0
1716,0
1717,3
1718,1
1719,0
1720,0
1721,1
1722,0
1723,0
1724,0
1725,1
1726,0
1727,3
1728,0
1729,0
1730,1
1731,1
1732,1
1733,0
1734,0
1735,0
1736,2
1737,0
1738,0
1739,2
1740,0
1741,1
1742,0
1743,2
1744,1
1745,0
1746,1
1747,0
1748,0
1749,3
1750,3
1751,0
1752,0
1753,1
1754,2
1755,1
1756,0
1757,0
1758,0
1759,1
1760,1
1761,0
1762,2
1763,2
1764,1
1765,0
1766,0
1767,0
1768,0
1769,0
1770,1
1771,0
1772,2
1773,0
1774,0
1775,2
1776,2
1777,1
1778,0
1779,0
1780,2
1781,0
1782,1
1783,2
1784,1
1785,2
1786,1
1787,0
1788,2
1789,0
1790,3
1791,0
1792,0
1793,2
1794,0
1795,0
1796,0
1797,1
1798,0
1799,1
1800,0
1801,2
1802,1
1803,1
1804,2
1805,0
1806,1
1807,1
1808,0
1809,0
1810,1
1811,0
1812,1
1813,1
1814,0
1815,0
1816,1
1817,1
1818,0
1819,1
1820,1
1821,0
1822,1
1823,0
1824,1
1825,1
1826,1
1827,0
1828,3
1829,0
1830,0
1831,0
1832,1
1833,0
1834,0
1835,1
1836,0
1837,0
1838,0
1839,1
1840,0
1841,0
1842,1
1843,1
1844,1
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,2
1852,0
1853,0
1854,0
1855,1
1856,0
1857,1
1858,2
1859,0
1860,0
